epoch,loss,model
1,1.3853859951516159,lstm
2,1.3839141370869483,lstm
3,1.3826890893343116,lstm
4,1.325106879242328,lstm
5,1.2265980393946672,lstm
6,1.0746317410669406,lstm
7,1.1001677427973067,lstm
8,1.0433498100072396,lstm
9,1.014806053718599,lstm
10,1.0202497118661384,lstm
11,1.0313022357075154,lstm
12,0.9994708229513729,lstm
13,0.9891634934088763,lstm
14,0.9777114817074367,lstm
15,0.9429111110062158,lstm
16,0.9364552137230625,lstm
17,0.9239701899159857,lstm
18,0.9222225316432344,lstm
19,0.9606228976690468,lstm
20,0.9044767457897923,lstm
21,0.9294123278946436,lstm
22,0.8805333656423232,lstm
23,0.8796353124770797,lstm
24,0.8658063146246582,lstm
25,0.8764832786151341,lstm
26,0.8555247868810382,lstm
27,0.8539381012195298,lstm
28,0.8471860059169161,lstm
29,0.8487385065615678,lstm
30,0.8523369065853728,lstm
31,0.8253594812224893,lstm
32,0.8508079798281694,lstm
1,1.3861383760676664,rnn
2,1.3848836291737918,rnn
3,1.3837578306678964,rnn
4,1.3820315108579748,rnn
5,1.3805581030725431,rnn
6,1.3662637111519564,rnn
7,1.3403216780734664,rnn
8,1.3428619989827901,rnn
9,1.3242070234122396,rnn
10,1.3132798531476189,rnn
11,1.2712217929984342,rnn
12,1.251011784337148,rnn
13,1.2707388831787751,rnn
14,1.2796594044741463,rnn
15,1.2493171461490022,rnn
16,1.2164927921375306,rnn
17,1.2528082523025383,rnn
18,1.2185406444453393,rnn
19,1.2263041504290926,rnn
20,1.2680977703142566,rnn
21,1.2882874442749666,rnn
22,1.2825878668232125,rnn
23,1.2675713310722543,rnn
24,1.2472628735694564,rnn
25,1.2370966021754162,rnn
26,1.2212717422918111,rnn
27,1.2188955926093734,rnn
28,1.225196004915638,rnn
29,1.2092045996369434,rnn
30,1.2054490622352152,rnn
31,1.1945478224954684,rnn
32,1.2056742736271449,rnn
